3 set 2019;31 ago 2019; -5,00  ;PAGAMENTO POS ESERCENTE 31/08/2019 00.14 ITALIANA PETROLI 030AD ALPIGNANO ITA N. 669872
16 ago 2019;14 ago 2019; -5,00  ;PAGAMENTO ONLINE PAGA CON POSTEPAY CON APP 14/08/2019 15.33 SU RICARICA3.TRE.IT N. 663590
29 ott 2019;25 ott 2019; -5,30  ;PAGAMENTO GOOGLE PAY POS ESERCENTE 25/10/2019 20.25 PETRARCA SRL COLLEGNO ITA N. 681383
2 ott 2019;01 ott 2019; -50,04  ;PAGAMENTO POS ESERCENTE 01/10/2019 19.36 42591 PIANEZZA DIREZI PIANEZZA ITA N. 676252
8 ott 2019;04 ott 2019; -55,22  ;PAGAMENTO ON LINE 04/10/2019 08.28 AMZN Mktp IT*MO31V4NB4 800-279-6620 LUX N. 673699
3 ott 2019;30 set 2019; -6,00  ;PAGAMENTO GOOGLE PAY POS ESERCENTE 30/09/2019 12.55 RISTOCAFE'083 TORINO ITA N. 677358
10 lug 2019;08 lug 2019; -6,00  ;PAGAMENTO GOOGLE PAY POS ESERCENTE 08/07/2019 17.31 DESANTIS ROBERTO CAVOUR ITA N. 652480
24 set 2019;21 set 2019; -6,22  ;PAGAMENTO GOOGLE PAY POS ESERCENTE 21/09/2019 22.00 CARREFOUR MARKET 0822 ALPIGNANO ITA N. 672307
23 mar 2019;21 mar 2019; -6,99  ;PAGAMENTO POS ESERCENTE 21/03/2019 11.52 LIFA MERCATONE SRL AVIGLIANA ITA N. 624841
10 set 2019;08 set 2019; -62,42  ;PAGAMENTO POS ESERCENTE 08/09/2019 18.23 42591 PIANEZZA DIREZI PIANEZZA ITA N. 666607
15 ott 2019;11 ott 2019; -63,70  ;PAGAMENTO GOOGLE PAY POS ESERCENTE 11/10/2019 08.38 FAMIREL SNC PIANEZZA ITA N. 679377
29 ott 2019;26 ott 2019; -66,10  ;PAGAMENTO POS ESERCENTE 26/10/2019 14.34 STAZIONE ECONOMY S.R.L ALPIGNANO ITA N. 689709
20 set 2019;19 set 2019; -66,52  ;PAGAMENTO POS ESERCENTE 19/09/2019 19.22 42591 PIANEZZA DIREZI PIANEZZA ITA N. 670638
31 ott 2019;29 ott 2019; -7,00  ;PAGAMENTO GOOGLE PAY POS ESERCENTE 29/10/2019 13.47 PANINI E BIBITE TORINO ITA N. 684001
23 ott 2019;20 ott 2019; -7,00  ;PAGAMENTO GOOGLE PAY POS ESERCENTE 20/10/2019 00.25 REMEMBEER PINEROLO ITA N. 675155
19 lug 2019;16 lug 2019; -7,00  ;PAGAMENTO GOOGLE PAY POS ESERCENTE 16/07/2019 12.18 PIADINO GRUGLIASCO ITA N. 652430
7 giu 2019;04 giu 2019; -8,00  ;PAGAMENTO GOOGLE PAY POS ESERCENTE 04/06/2019 13.06 RISTORANTE LE FERRIERE TORINO ITA N. 647744
3 set 2019;30 ago 2019; -8,20  ;PAGAMENTO GOOGLE PAY POS ESERCENTE 30/08/2019 20.18 PETRARCA SRL COLLEGNO ITA N. 666329
26 giu 2019;21 giu 2019; -8,80  ;PAGAMENTO GOOGLE PAY POS ESERCENTE 21/06/2019 20.12 PETRARCA SRL MONDOVI' ITA N. 640029
20 set 2019;17 set 2019; -8,99  ;PAGAMENTO ON LINE 17/09/2019 12.38 AMZN Mktp IT*MA8ZL8224 800-279-6620 LUX N. 679038
8 ott 2019;04 ott 2019; -9,10  ;PAGAMENTO GOOGLE PAY POS ESERCENTE 04/10/2019 21.12 PETRARCA SRL COLLEGNO ITA N. 676717
